slug,term,category,short_def,full_def,related
lucky-win,Lucky win,Luck,"Won a week you'd have lost to most of the league (a below-.500 all-play standing).","A lucky win is a week you won despite scoring poorly relative to the field: your all-play standing was below .500, so most of the league would have beaten you, but your actual opponent scored even less. It is the discrete, per-week view of schedule luck.","schedule-luck,unlucky-loss,all-play-win-pct"
unlucky-loss,Unlucky loss,Luck,"Lost a week you'd have beaten most of the league (an above-.500 all-play standing).","An unlucky loss is a week you lost despite scoring well relative to the field: your all-play standing was above .500, but you happened to draw a higher-scoring opponent.","schedule-luck,lucky-win"
snub,Snub,Luck,"Missed the playoffs despite outscoring a team that made it.","A snub is a team that missed the playoffs even though it scored more total points than at least one team that got in, more deserving on points than someone who qualified. The biggest snub outscored the most playoff teams.","lucky-in,all-play-snub,playoffs"
lucky-in,Lucky-in,Luck,"Made the playoffs despite being outscored by a team that missed.","Lucky-in is the mirror of a snub: a team that reached the playoffs even though a higher-scoring team missed out.","snub,all-play-lucky-in"
all-play-snub,All-play snub,Luck,"Missed the playoffs despite a better all-play record than a team that made it (merit, not just points).","A more rigorous snub: instead of raw points it asks whether you out-played (higher all-play win %) a team that qualified, rewarding genuine week-to-week strength against the whole league rather than point totals alone.","snub,all-play-win-pct"
all-play-lucky-in,All-play lucky-in,Luck,"Made the playoffs despite a worse all-play record than a team that missed.","The merit-based mirror of the all-play snub: you qualified despite a weaker all-play record than a team left out.","lucky-in,all-play-snub"
shotgun,Shotgun,Shotgun,"A week scoring under 100 points, or the lowest score in the league that week.","A shotgun is a rough week: either a sub-100 score or the single lowest score in the league that week. It's a playful badge of shame tallied per season and per career.",
clutch-game,Clutch game,Clutch,"A regular-season game decided by fewer than 10 points.","Clutch games are the close ones, decided by under 10 points. A team's clutch record and win % measure how it fares when the margin is thin.","margin,tightest-game"
optimal-lineup,Optimal lineup,Lineups,"The highest-scoring legal lineup a team could have started from its roster that week.","The optimal lineup is the best legal starting lineup available from a team's roster in a week: top scorers fill each position, then the FLEX takes the best remaining eligible player. It is the benchmark for lineup-setting skill.","points-left,lineup-efficiency,flex"
points-left,Points left on the bench,Lineups,"Optimal lineup points minus the points actually started; avoidable start/sit loss.","Points left on the bench is the gap between the optimal lineup and what was actually started, the points a manager lost by sitting the wrong players. It is depth-neutral, counting only players actually rostered.","optimal-lineup,lineup-efficiency"
lineup-efficiency,Lineup efficiency,Lineups,"Points actually started as a percentage of the optimal lineup.","Lineup efficiency is actual started points divided by the optimal lineup's points. It normalizes for scoring, so a low-scoring team that set near-perfect lineups can still rate highly.","optimal-lineup,points-left"
flex,FLEX,Lineups,"A lineup slot fillable by a RB, WR, or TE.","The FLEX is a flexible starting slot accepting a running back, receiver, or tight end. In the optimal lineup it takes the best remaining eligible player after the dedicated position slots are filled.",optimal-lineup
started-points,Started points,Lineups,"Points from players in a team's active lineup (bench/IR excluded).","Started points count only players who occupied an active lineup slot, the production that actually counted, as opposed to points sitting on the bench.","rostered-points,points-left"
underutilized-player,Underutilized player,Lineups,"The best player most left on the bench: points scored in weeks they belonged in the optimal lineup but were benched.","An underutilized player is one whose points were repeatedly left on the bench: the points they scored in weeks they belonged in the optimal lineup but didn't start. It pinpoints the biggest recurring start/sit miss.","points-left,optimal-lineup"
rostered-points,Rostered points,Roster,"Points a player scored while on an owner's roster, bench and IR weeks included.","Rostered (held) points are everything a player produced while a given owner held them, bench and IR weeks included. Contrast with started points, which count the active lineup only.","started-points,roster-utilization"
total-points,Total points (player),Roster,"A player's full regular-season fantasy total across all owners and weeks.","Total points is the player's own regular-season production, independent of who rostered them, and the denominator for capture %.",capture-rate
capture-rate,Capture %,Roster,"Of a player's whole-season output, the share this owner actually started.","Capture % is points started by this owner divided by the player's full regular-season total. It runs low when the owner only rostered the player part of the year (acquisition timing), rewarding getting a productive player's points into your lineup.","started-points,total-points,roster-utilization"
roster-utilization,Roster utilization %,Roster,"Of the points a player scored while on your roster, the share you started.","Roster utilization is points started divided by points held, pure start/sit deployment. It is near 100% for a full-time starter and low for a player who scored mostly on your bench.","rostered-points,started-points"
winners-bracket,Winners bracket,Postseason,"The championship playoff bracket for the top seeds.","The winners (championship) bracket is the real playoffs, the top seeds competing for the title. 'Playoff appearances' and the true playoff record refer to this bracket only.","playoffs,toilet-bowl,playoff-record"
toilet-bowl,Toilet bowl,Postseason,"The bottom bracket; its winner finishes dead last.","The toilet bowl is the consolation bracket for the worst teams. Confusingly, winning it means finishing last overall, the booby prize. Its games are kept as a separate record from the real playoffs.","winners-bracket,last-place"
kiss-my-sister,Kiss my sister,Postseason,"The middle consolation bracket, neither contending nor in the toilet bowl.","Kiss my sister is the middle bracket for teams that missed the championship hunt but avoided the toilet bowl, placement games with nothing at stake.","winners-bracket,toilet-bowl"
champion,Champion,Postseason,"The team that wins the winners bracket.","The champion wins the title game in the winners bracket, shown with its regular-season seed to flag upsets.","runner-up,seed"
runner-up,Runner-up,Postseason,"The team that loses the championship game.","The runner-up reaches the title game but loses it.",champion
last-place,Last place,Postseason,"A dead-last finish, the toilet bowl winner.","Last place is the worst final standing, decided in the toilet bowl.",toilet-bowl
best-finish,Best finish,Postseason,"The highest (lowest-numbered) final standing an owner has ever reached.","Best finish is a career high-water mark: the best end-of-season placement an owner has achieved.",seed
playoff-record,Playoff record,Postseason,"Win-loss record in the winners (championship) bracket only.","The playoff record counts only championship-bracket games, the true playoff record. Toilet-bowl games are tracked as their own separate record.","winners-bracket,toilet-bowl"
snake-draft,Snake draft,Draft,"A draft where pick order reverses each round.","In a snake draft the order reverses every round, so an early pick in one round means a late pick in the next. No money is involved; draft value comes from pick position.","auction-draft,draft-capital"
auction-draft,Auction draft,Draft,"A draft where managers bid a budget to buy players.","In an auction draft every manager has a budget and nominates and bids on players; you can roster anyone if you pay up. The price paid is the bid amount.","snake-draft,bid-amount"
bid-amount,Bid amount,Draft,"The auction price paid to acquire a drafted player.","Bid amount is what an owner spent at the auction to win a player, the acquisition cost in auction years.",auction-draft
keeper,Keeper,Draft,"A player retained from a prior season instead of re-drafted.","A keeper is a player a team holds over from the previous season rather than returning them to the draft pool.",
draft-capital,Draft capital,Draft,"The value invested to acquire a player: auction dollars or snake pick position.","Draft capital is the cost of acquiring a player, auction dollars in auction years or pick position (a value curve) in snake years. It is the spend side of roster-picking value.","bid-amount,snake-draft,auction-draft"
acquisition,Acquisition,Transactions,"A waiver or free-agent add during the season.","An acquisition is an in-season roster add from waivers or free agency, as opposed to a draft pick or a trade.","faab,trade"
trade,Trade,Transactions,"A completed player swap between two owners.","A trade is a completed exchange of players (and/or FAAB) between two managers.",acquisition
faab,FAAB,Transactions,"Free Agent Acquisition Budget, the season-long pool used to bid on waiver players.","FAAB (Free Agent Acquisition Budget) is a fixed season-long pool of fake money each manager bids to win waiver players; the highest bid lands the player.",acquisition
strength-of-schedule,Strength of schedule (SOS),Schedule,"How tough a team's opponents are, blended from their wins and their opponents' wins.","Strength of schedule blends opponent wins and opponents'-opponents' wins (two-thirds OW plus one-third OOW) into one number; higher means a harder slate. Remaining-game variants project the road ahead.","opponent-wins,opponent-opponent-wins"
opponent-wins,Opponent wins (OW),Schedule,"The combined win rate of the teams you've played.","Opponent wins (OW) measures how good your opponents have been, the win rate of the teams on your schedule. League-wide it averages 50%.","strength-of-schedule,opponent-opponent-wins"
opponent-opponent-wins,Opponent's-opponent wins (OOW),Schedule,"The win rate of your opponents' opponents, a second-order schedule-strength signal.","OOW looks one level deeper: the win rate of the teams your opponents played, a smoothing signal in the SOS blend.","strength-of-schedule,opponent-wins"
